epoch,accuracy,loss,val_accuracy,val_loss
0,0.6242095828056335,0.909344494342804,0.6660474538803101,0.8555380702018738
1,0.7195835113525391,0.7341740727424622,0.7071207165718079,0.7768927812576294
2,0.7531022429466248,0.65948486328125,0.7197110652923584,0.7453227639198303
3,0.775305449962616,0.602863073348999,0.7415892481803894,0.6983510851860046
4,0.7976988554000854,0.5433552861213684,0.7541795372962952,0.6776114106178284
5,0.8074929714202881,0.5175244808197021,0.7300309538841248,0.6854479312896729
6,0.817192018032074,0.4916413426399231,0.7446852326393127,0.7215373516082764
7,0.8254172205924988,0.47762444615364075,0.7514963746070862,0.671484649181366
8,0.8348785042762756,0.45236527919769287,0.7803921699523926,0.6196482181549072
9,0.8494746088981628,0.4173901379108429,0.7634674906730652,0.6670714616775513
10,0.8469547629356384,0.4207371771335602,0.7717234492301941,0.6499505639076233
11,0.8571768403053284,0.39427468180656433,0.7682146430015564,0.6776458621025085
12,0.8594589233398438,0.38772329688072205,0.7638803124427795,0.70218425989151
13,0.8633576035499573,0.3815349042415619,0.776057779788971,0.6538919806480408
14,0.8668758869171143,0.36851567029953003,0.7958720326423645,0.6132304072380066
15,0.8712974786758423,0.35304898023605347,0.7754386067390442,0.711117684841156
16,0.8748157620429993,0.34782132506370544,0.7775025963783264,0.6386973261833191
17,0.8780012130737305,0.33290567994117737,0.7795665860176086,0.6506716012954712
18,0.8800931572914124,0.3306067883968353,0.7803921699523926,0.6270150542259216
19,0.8815670609474182,0.3208533823490143,0.7865840792655945,0.6600158214569092
20,0.8903627395629883,0.3017541766166687,0.7905056476593018,0.6496356129646301
21,0.8872248530387878,0.3078761696815491,0.7869969010353088,0.6793512105941772
22,0.8918366432189941,0.30082565546035767,0.7923632860183716,0.6953356266021729
23,0.8926448822021484,0.28855323791503906,0.7824561595916748,0.7309446930885315
24,0.8929777145385742,0.2920929193496704,0.7729617953300476,0.7220322489738464
25,0.8919317126274109,0.2947726547718048,0.784520149230957,0.6772407293319702
26,0.9011077880859375,0.26985758543014526,0.7971104383468628,0.6772220134735107
27,0.9007274508476257,0.2714451253414154,0.7812177538871765,0.7089700698852539
28,0.9012028574943542,0.27195167541503906,0.7905056476593018,0.6926159262657166
29,0.9066704511642456,0.25592219829559326,0.7820433378219604,0.7290141582489014
