,precision,recall,f1-score,support
NoFall,1.0,0.9795918367346939,0.9896907216494846,98.0
Faint,0.900990099009901,0.978494623655914,0.9381443298969072,93.0
Slip,0.9090909090909091,0.847457627118644,0.8771929824561403,59.0
Trip,0.9436619718309859,0.9178082191780822,0.9305555555555556,73.0
accuracy,0.9411764705882353,0.9411764705882353,0.9411764705882353,0.9411764705882353
macro avg,0.938435744982949,0.9308380766718335,0.933895897389522,323.0
weighted avg,0.942154076742868,0.9411764705882353,0.9409351545589155,323.0
