epoch,accuracy,loss,val_accuracy,val_loss
0,0.5988684296607971,1.0149277448654175,0.692672848701477,0.8029178977012634
1,0.7125469446182251,0.7354989647865295,0.7069143652915955,0.7369965314865112
2,0.7427375912666321,0.6643452644348145,0.7298245429992676,0.6909244060516357
3,0.7589977383613586,0.6195620894432068,0.7209494113922119,0.7125595808029175
4,0.7773498892784119,0.5822275280952454,0.7558307647705078,0.6418859362602234
5,0.7862882018089294,0.5569759011268616,0.7351909279823303,0.691295862197876
6,0.7928968667984009,0.5399316549301147,0.7539731860160828,0.6753961443901062
7,0.8074454665184021,0.5063346028327942,0.7647058963775635,0.607528567314148
8,0.8126752972602844,0.49896544218063354,0.7822497487068176,0.6043655276298523
9,0.814196765422821,0.4902383089065552,0.751289963722229,0.6721675395965576
10,0.8258926272392273,0.46628841757774353,0.7715170383453369,0.6327911019325256
11,0.8291256427764893,0.45606133341789246,0.7805985808372498,0.6231725215911865
12,0.8358294367790222,0.43686893582344055,0.773374617099762,0.6254258155822754
13,0.8391575217247009,0.43184694647789,0.7878224849700928,0.637374758720398
14,0.8663528561592102,0.36496901512145996,0.8012384176254272,0.616176187992096
15,0.8790472149848938,0.33278217911720276,0.7896800637245178,0.6316722631454468
16,0.8861788511276245,0.31692740321159363,0.7997936010360718,0.6240049600601196
17,0.8850853443145752,0.31434908509254456,0.7894737124443054,0.6568267941474915
18,0.889839768409729,0.30219951272010803,0.7946336269378662,0.6573939323425293
19,0.9033899307250977,0.2675037384033203,0.8051599860191345,0.6418413519859314
20,0.9112347364425659,0.24694609642028809,0.8099071383476257,0.6333521008491516
21,0.9193172454833984,0.2296513319015503,0.8142414689064026,0.6562221646308899
22,0.9205058813095093,0.22416290640830994,0.8088751435279846,0.6937364935874939
23,0.919459879398346,0.2268383800983429,0.8043343424797058,0.68193119764328
24,0.9273046851158142,0.204062357544899,0.813828706741333,0.6673675179481506
25,0.9344363808631897,0.19059884548187256,0.821052610874176,0.6783903241157532
26,0.9339133501052856,0.18737608194351196,0.8179566860198975,0.6748238801956177
27,0.936147928237915,0.17692814767360687,0.8148607015609741,0.7028603553771973
28,0.9354348182678223,0.17951396107673645,0.8177502751350403,0.6998631954193115
29,0.9410450458526611,0.16707219183444977,0.8163054585456848,0.7067520618438721
